"","Mean","Std Dev","1st","5th","25th","Median","75th","95th","99th"
"age","15.744","13.452","0.999","2.001","5.999","11.001","21.999","45.254","58.001"
"at","8,334.100","73,577.254","5.381","15.397","96.843","455.665","2,235.352","21,873.966","121,274.220"
"baspread","0.014","0.045","0.000","0.000","0.000","0.000","0.000","0.088","0.200"
"bhr","0.198","0.817","-0.815","-0.601","-0.176","0.093","0.380","1.250","3.042"
"div","2.427","15.400","0.000","0.000","0.000","0.000","0.684","8.624","44.298"
"leverage","0.221","0.199","0.000","0.000","0.045","0.182","0.349","0.604","0.785"
"mve","3,307.920","15,054.958","3.427","10.499","65.022","284.206","1,284.152","12,719.206","61,645.644"
"nanalysts","5.312","6.845","0.000","0.000","0.000","3.000","7.000","20.000","30.000"
"pe_fwd","30.746","207.525","-139.094","-15.848","8.328","16.221","31.366","116.386","405.000"
"price","23.358","57.695","0.829","1.969","7.548","16.240","29.033","59.986","106.049"
"q","1.504","3.056","0.103","0.191","0.623","0.974","1.598","4.250","8.951"
"roa","-0.001","0.344","-0.812","-0.298","-0.003","0.023","0.061","0.146","0.267"
"sp500","0.112","0.316","0.000","0.000","0.000","0.000","0.000","1.000","1.000"
"tang","0.518","0.167","0.061","0.214","0.434","0.530","0.606","0.807","0.927"
"turnover","1.322","9.723","0.023","0.079","0.304","0.684","1.429","3.850","8.634"
